customer,long,lat,product,mass,sale,duration,start,end
1,144763,-3705054,IQF,12,392,300,28800,61200
2,144763,-3705054,IQF,24,392,300,28800,61200
3,144763,-3705054,IQF,99,392,300,28800,61200
4,140420,-3704348,IQF,60,392,300,28800,61200
5,140420,-3704348,IQF,12,392,300,28800,61200
6,140634,-3704370,IQF,52,392,300,28800,61200
7,140634,-3704370,IQF,27,392,300,28800,61200
8,141959,-3699020,IQF,12,392,300,28800,61200
9,142208,-3708136,IQF,12,392,300,28800,61200
10,207087,-3668672,IQF,8,392,300,28800,61200
11,148565,-3708449,IQF,18,392,300,28800,61200
12,148565,-3708449,IQF,24,392,300,28800,61200
13,144091,-3705316,IQF,70,392,300,28800,61200
14,145355,-3704972,IQF,24,392,300,28800,61200
15,154932,-3709267,IQF,29,392,300,28800,61200
16,139449,-3706061,IQF,36,392,300,28800,61200
17,139449,-3706061,IQF,12,392,300,28800,61200
18,139449,-3706061,IQF,19,392,300,28800,61200
19,144482,-3708569,IQF,36,392,300,28800,61200
20,144482,-3708569,IQF,10,392,300,28800,61200
21,144482,-3708569,IQF,59,392,300,28800,61200
22,144763,-3705054,IQF,19,392,300,28800,61200
23,144763,-3705054,IQF,33,392,300,28800,61200
24,144763,-3705054,IQF,14,392,300,28800,61200
25,140420,-3704348,IQF,2718,392,300,28800,61200
26,140420,-3704348,IQF,50,392,300,28800,61200
27,140634,-3704370,IQF,6,392,300,28800,61200
28,140634,-3704370,IQF,9,392,300,28800,61200
29,141959,-3699020,IQF,28,392,300,28800,61200
30,141959,-3699020,IQF,4,392,300,28800,61200
31,141959,-3699020,IQF,6,392,300,28800,61200
32,141959,-3699020,IQF,27,392,300,28800,61200
33,141959,-3699020,IQF,22,392,300,28800,61200
34,142208,-3708136,IQF,39,392,300,28800,61200
35,142208,-3708136,IQF,81,392,300,28800,61200
36,142208,-3708136,IQF,31,392,300,28800,61200
37,207087,-3668672,IQF,79,392,300,28800,61200
38,207087,-3668672,IQF,162,392,300,28800,61200
39,207087,-3668672,IQF,97,392,300,28800,61200
40,207087,-3668672,IQF,70,392,300,28800,61200
41,148565,-3708449,IQF,18,392,300,28800,61200
42,148565,-3708449,IQF,87,392,300,28800,61200
43,148565,-3708449,IQF,60,392,300,28800,61200
44,144091,-3705316,IQF,16,392,300,28800,61200
45,144091,-3705316,IQF,33,392,300,28800,61200
46,144091,-3705316,IQF,51,392,300,28800,61200
47,144091,-3705316,IQF,16,392,300,28800,61200
48,144091,-3705316,IQF,29,392,300,28800,61200
49,144091,-3705316,IQF,8,392,300,28800,61200
50,145355,-3704972,IQF,24,392,300,28800,61200
51,145355,-3704972,IQF,43,392,300,28800,61200
52,145355,-3704972,IQF,75,392,300,28800,61200
53,145355,-3704972,IQF,9,392,300,28800,61200
54,145355,-3704972,IQF,37,392,300,28800,61200
55,145355,-3704972,IQF,24,392,300,28800,61200
56,154932,-3709267,IQF,4,392,300,28800,61200
57,154932,-3709267,IQF,4,392,300,28800,61200
58,139449,-3706061,IQF,30,392,300,28800,61200
59,139449,-3706061,IQF,28,392,300,28800,61200
60,144482,-3708569,IQF,9,392,300,28800,61200
61,144482,-3708569,IQF,22,392,300,28800,61200
62,144482,-3708569,IQF,78,392,300,28800,61200
63,144482,-3708569,IQF,32,392,300,28800,61200
64,144482,-3708569,IQF,9,392,300,28800,61200
65,92368,-3703892,IQF,3,392,300,28800,61200
66,92368,-3703892,IQF,32,392,300,28800,61200
67,144763,-3705054,IQF,43,392,300,28800,61200
68,144763,-3705054,IQF,186,392,300,28800,61200
69,144763,-3705054,IQF,75,392,300,28800,61200
70,144763,-3705054,IQF,76,392,300,28800,61200
71,140420,-3704348,IQF,9,392,300,28800,61200
72,140420,-3704348,IQF,72,392,300,28800,61200
73,140420,-3704348,IQF,336,392,300,28800,61200
74,140420,-3704348,IQF,19,392,300,28800,61200
75,140634,-3704370,IQF,145,392,300,28800,61200
76,140634,-3704370,IQF,149,392,300,28800,61200
77,140634,-3704370,IQF,60,392,300,28800,61200
78,140634,-3704370,IQF,13,392,300,28800,61200
79,141959,-3699020,IQF,54,392,300,28800,61200
80,141959,-3699020,IQF,50,392,300,28800,61200
81,141959,-3699020,IQF,22,392,300,28800,61200
82,142208,-3708136,IQF,176,392,300,28800,61200
83,142208,-3708136,IQF,108,392,300,28800,61200
84,142208,-3708136,IQF,37,392,300,28800,61200
85,236515,-3638933,IQF,225,392,300,28800,61200
86,82592,-3711232,IQF,50,392,300,28800,61200
87,207087,-3668672,IQF,90,392,300,28800,61200
88,207087,-3668672,IQF,153,392,300,28800,61200
89,207087,-3668672,IQF,269,392,300,28800,61200
90,207087,-3668672,IQF,29,392,300,28800,61200
91,148565,-3708449,IQF,9,392,300,28800,61200
92,148565,-3708449,IQF,41,392,300,28800,61200
93,148565,-3708449,IQF,2,392,300,28800,61200
94,144091,-3705316,IQF,5,392,300,28800,61200
95,144091,-3705316,IQF,201,392,300,28800,61200
96,144091,-3705316,IQF,36,392,300,28800,61200
97,145355,-3704972,IQF,10,392,300,28800,61200
98,145355,-3704972,IQF,362,392,300,28800,61200
99,145355,-3704972,IQF,24,392,300,28800,61200
