customer,long,lat,product,mass,sale,duration,start,end
1,236515,-3638933,IQF,120,0,300,28800,61200
2,236515,-3638933,IQF,36,0,300,28801,61200
3,236515,-3638933,IQF,6,0,300,28802,61200
4,92058,-3704147,IQF,12,0,300,28803,61200
5,92058,-3704147,IQF,8,0,300,28804,61200
6,92058,-3704147,IQF,16,0,300,28805,61200
7,140325,-3704724,IQF,72,0,300,28806,61200
8,140325,-3704724,IQF,32,0,300,28807,61200
9,140325,-3704724,IQF,29,0,300,28808,61200
10,144763,-3705054,IQF,16,0,300,28809,61200
11,144763,-3705054,IQF,91,0,300,28810,61200
12,148565,-3708449,IQF,48,0,300,28811,61200
13,148565,-3708449,IQF,32,0,300,28812,61200
14,141959,-3699020,IQF,18,0,300,28813,61200
15,141959,-3699020,IQF,6,0,300,28814,61200
16,142208,-3708136,IQF,8,0,300,28815,61200
17,142208,-3708136,IQF,35,0,300,28816,61200
18,236515,-3638933,IQF,16,0,300,28817,61200
19,236515,-3638933,IQF,23,0,300,28818,61200
20,82592,-3711232,IQF,28,0,300,28819,61200
21,82592,-3711232,IQF,34,0,300,28820,61200
22,144091,-3705316,IQF,26,0,300,28821,61200
23,144091,-3705316,IQF,167,0,300,28822,61200
24,145355,-3704972,IQF,28,0,300,28823,61200
25,145355,-3704972,IQF,36,0,300,28824,61200
26,139449,-3706061,IQF,24,0,300,28825,61200
27,139449,-3706061,IQF,8,0,300,28826,61200
28,139449,-3706061,IQF,24,0,300,28827,61200
29,236515,-3638933,IQF,8232,0,300,28828,61200
30,236515,-3638933,IQF,262,0,300,28829,61200
31,236515,-3638933,IQF,10,0,300,28830,61200
32,72098,-3710635,IQF,1848,0,300,28831,61200
33,72098,-3710635,IQF,28,0,300,28832,61200
34,72098,-3710635,IQF,28,0,300,28833,61200
35,236515,-3638933,IQF,29,0,300,28834,61200
36,92058,-3704147,IQF,61,0,300,28835,61200
37,92058,-3704147,IQF,22,0,300,28836,61200
38,92058,-3704147,IQF,87,0,300,28837,61200
39,92058,-3704147,IQF,133,0,300,28838,61200
40,92058,-3704147,IQF,20,0,300,28839,61200
41,140325,-3704724,IQF,30,0,300,28840,61200
42,140325,-3704724,IQF,108,0,300,28841,61200
43,140325,-3704724,IQF,102,0,300,28842,61200
44,144763,-3705054,IQF,2,0,300,28843,61200
45,144763,-3705054,IQF,23,0,300,28844,61200
46,144763,-3705054,IQF,11,0,300,28845,61200
47,148565,-3708449,IQF,134,0,300,28846,61200
48,148565,-3708449,IQF,9,0,300,28847,61200
49,148565,-3708449,IQF,30,0,300,28848,61200
50,148565,-3708449,IQF,42,0,300,28849,61200
51,148565,-3708449,IQF,19,0,300,28850,61200
52,141959,-3699020,IQF,20,0,300,28851,61200
53,141959,-3699020,IQF,38,0,300,28852,61200
54,141959,-3699020,IQF,20,0,300,28853,61200
55,141959,-3699020,IQF,33,0,300,28854,61200
56,148077,-3701949,IQF,246,0,300,28855,61200
57,148077,-3701949,IQF,336,0,300,28856,61200
58,142208,-3708136,IQF,33,0,300,28857,61200
59,142208,-3708136,IQF,246,0,300,28858,61200
60,142208,-3708136,IQF,336,0,300,28859,61200
61,142208,-3708136,IQF,70,0,300,28860,61200
62,142208,-3708136,IQF,11,0,300,28861,61200
63,236515,-3638933,IQF,13,0,300,28862,61200
64,236515,-3638933,IQF,22,0,300,28863,61200
