customer,long,lat,product,mass,sale,duration,start,end
CHECKERS SIXTH AVE,148340.842,-3708473.484,IQF,1500,392,500,0,86400
MAKRO P.E,140308.0297,-3704398.509,VALUE ADDED,1000,577.5,500,0,86400
CHECKERS SIXTH AVE,148340.842,-3708473.484,IQF,3000,392,500,0,86400
MAKRO P.E,140308.0297,-3704398.509,VALUE ADDED,2000,577.5,500,0,86400
CHECKERS SIXTH AVE,148340.842,-3708473.484,IQF,1500,392,500,0,86400
MAKRO P.E,140308.0297,-3704398.509,VALUE ADDED,1000,577.5,500,0,86400
CHECKERS SIXTH AVE,148340.842,-3708473.484,IQF,3000,392,500,0,86400
MAKRO P.E,140308.0297,-3704398.509,VALUE ADDED,2000,577.5,500,0,86400
CHECKERS SIXTH AVE,148340.842,-3708473.484,IQF,1500,392,500,0,86400
MAKRO P.E,140308.0297,-3704398.509,VALUE ADDED,1000,577.5,500,0,86400
CHECKERS SIXTH AVE,148340.842,-3708473.484,IQF,3000,392,500,0,86400
MAKRO P.E,140308.0297,-3704398.509,VALUE ADDED,2000,577.5,500,0,86400
